No,Ch1,Ch2,Ch3,Ch4
21566,0.20580075,0.087628152,0.321991732,0.384579367
21567,0.071787226,0.273821784,0.433238148,0.221152842
21568,0.261989248,0.390094114,0.102525252,0.245391385
21569,0.564886988,0.07553712,0.13512588,0.224450012
21570,0.109298274,0.281525724,0.512017229,0.097158774
21571,0.088362405,0.58697393,0.127472538,0.197191126
21572,0.145439048,0.075428934,0.490252941,0.288879077
21573,0.143386164,0.129445702,0.171389909,0.555778225
21574,0.152545525,0.280820724,0.389373325,0.177260426
21575,0.056056892,0.07750113,0.633772936,0.232669042
21576,0.237962114,0.212859339,0.274315419,0.274863128
21577,0.225274778,0.120540072,0.54087554,0.11330961
21578,0.344079015,0.243506248,0.170242257,0.24217248
21579,0.120111783,0.147621782,0.160797203,0.571469232
21580,0.066041569,0.436369974,0.196391252,0.301197205
21581,0.449945957,0.076873073,0.141564736,0.331616234
21582,0.099301446,0.158199859,0.405608914,0.336889782
21583,0.19146848,0.135556244,0.174909911,0.498065364
21584,0.197640052,0.288946847,0.10337835,0.41003475
21585,0.297158372,0.236142394,0.125664309,0.341034925
21586,0.166611482,0.4420133,0.18062405,0.210751168
21587,0.059588937,0.470544361,0.205117882,0.26474882
21588,0.055372748,0.111881968,0.515945478,0.316799806
21589,0.166228078,0.091347177,0.451669577,0.290755168
21590,0.068695697,0.123649267,0.524630835,0.283024201
21591,0.067200069,0.228566513,0.357654664,0.346578754
21592,0.117845113,0.250740741,0.083912149,0.547501997
21593,0.453698759,0.175580837,0.137637775,0.23308263
21594,0.096382851,0.132216696,0.258550442,0.51285001
21595,0.263358359,0.169849593,0.08779755,0.478994498
21596,0.149360698,0.567325305,0.083253428,0.200060569
21597,0.327720354,0.279066593,0.084455921,0.308757132
21598,0.071558031,0.385079449,0.323541517,0.219821002
21599,0.240168872,0.356744956,0.234670239,0.168415933
21600,0.094074758,0.159163599,0.09510967,0.651651973
21601,0.073486682,0.192036493,0.140566616,0.593910209
21602,0.060143298,0.45760849,0.271570567,0.210677644
21603,0.408717761,0.070076573,0.147322648,0.373883018
21604,0.05845178,0.194222838,0.418199265,0.329126117
21605,0.181453568,0.05772194,0.52446584,0.236358652
21606,0.248599816,0.047599781,0.306078966,0.397721437
21607,0.523989879,0.095655967,0.06223801,0.318116144
21608,0.236244179,0.467620414,0.041689137,0.254446271
21609,0.063979148,0.067171683,0.482819911,0.386029258
21610,0.267737344,0.387696677,0.042710226,0.301855753
21611,0.060113438,0.085352916,0.467205127,0.387328519
21612,0.44672688,0.12732783,0.310235639,0.115709651
21613,0.055814196,0.185047915,0.373566837,0.385571052
21614,0.072905078,0.426711478,0.268301565,0.232081879
21615,0.315893044,0.355352744,0.037909668,0.290844545
21616,0.204269615,0.035453342,0.555632177,0.204644867
21617,0.207778693,0.312245995,0.218504216,0.261471097
21618,0.199199643,0.091269064,0.265352784,0.444178509
21619,0.176725688,0.13555771,0.097009898,0.590706704
21620,0.069000304,0.570467357,0.052966669,0.30756567
21621,0.140980331,0.366469004,0.179578297,0.312972369
21622,0.138726107,0.263595096,0.11142833,0.486250466
21623,0.393414479,0.334696821,0.098106226,0.173782474
21624,0.515139544,0.242097676,0.088614833,0.154147947
21625,0.134804905,0.103783372,0.482970411,0.278441312
21626,0.559782037,0.092325905,0.151362901,0.196529157
21627,0.129876512,0.223130922,0.411718544,0.235274022
21628,0.226161398,0.515203038,0.130136282,0.128499282
21629,0.505170435,0.151559037,0.109694233,0.233576295
21630,0.202347152,0.123007204,0.221971219,0.452674425
21631,0.1487546,0.082986089,0.674649043,0.093610268
21632,0.092214581,0.238760879,0.473356798,0.195667743
21633,0.184575509,0.291250639,0.204912211,0.319261641
21634,0.177073141,0.602448267,0.106066179,0.114412414
21635,0.077589112,0.630966754,0.168308509,0.123135626
21636,0.52271165,0.186385044,0.113665878,0.177237429
21637,0.485448606,0.269991417,0.092971552,0.151588425
21638,0.171636195,0.381464871,0.325982615,0.120916319
21639,0.228412959,0.48272646,0.135865002,0.152995579
21640,0.438370909,0.27533202,0.154932664,0.131364408
21641,0.243602982,0.201746874,0.453938423,0.100711721
21642,0.448523754,0.192754569,0.163279532,0.195442145
21643,0.077921428,0.218441543,0.51611313,0.187523899
21644,0.317914141,0.256063501,0.158485241,0.267537117
21645,0.112438292,0.594229792,0.131688952,0.161642965
21646,0.15585261,0.203194557,0.44850318,0.192449652
21647,0.179861049,0.194937479,0.440260849,0.184940623
21648,0.327026449,0.134211381,0.360678993,0.178083177
21649,0.477897484,0.123102467,0.275474063,0.123525986
21650,0.132708823,0.333170986,0.323331496,0.210788695
21651,0.46967134,0.083548103,0.16552097,0.281259587
21652,0.106907445,0.141038272,0.232170382,0.519883902
