No,Ch1,Ch2,Ch3,Ch4
21566,0.177038285,0.102569533,0.31748973,0.402902453
21567,0.048618783,0.290380705,0.459244559,0.201755953
21568,0.342912617,0.399490909,0.068671696,0.188924778
21569,0.692850259,0.066109244,0.087548298,0.153492199
21570,0.08826929,0.280067848,0.522011149,0.109651713
21571,0.072417413,0.661366558,0.104807154,0.161408874
21572,0.127356311,0.068134604,0.576833155,0.227675931
21573,0.102053803,0.1151288,0.179528327,0.60328907
21574,0.127556447,0.281572853,0.433206459,0.15766424
21575,0.049876245,0.079888766,0.686418763,0.183816226
21576,0.219118551,0.204397666,0.269771288,0.306712495
21577,0.230857981,0.139946513,0.523654787,0.10554072
21578,0.35876636,0.25569134,0.161838565,0.223703735
21579,0.085032742,0.149049596,0.163543067,0.602374595
21580,0.042462747,0.556801719,0.15279656,0.247938974
21581,0.484674817,0.079965328,0.123268154,0.312091701
21582,0.070253092,0.143234998,0.391371705,0.395140205
21583,0.143242556,0.146219753,0.203069133,0.507468558
21584,0.213265038,0.291512434,0.105256703,0.389965825
21585,0.319655616,0.170641541,0.103669021,0.406033821
21586,0.184331224,0.417120205,0.168110104,0.230438466
21587,0.032196697,0.500187916,0.182310347,0.28530504
21588,0.038046786,0.085473233,0.55221351,0.324266471
21589,0.137260714,0.062075974,0.537551461,0.263111852
21590,0.041804734,0.09817859,0.539071314,0.320945361
21591,0.042353515,0.188055821,0.3585548,0.411035864
21592,0.105230838,0.232479559,0.066645804,0.595643799
21593,0.492717441,0.192621078,0.116870425,0.197791056
21594,0.082686435,0.093050746,0.242225385,0.582037434
21595,0.240179378,0.149113352,0.048011735,0.562695535
21596,0.17070446,0.585884988,0.066544398,0.176866154
21597,0.26362668,0.300378419,0.054316909,0.381677992
21598,0.058352582,0.408227364,0.309844291,0.223575763
21599,0.192171628,0.351275836,0.288594309,0.167958227
21600,0.055736772,0.142247142,0.08345769,0.718558396
21601,0.050352493,0.163895883,0.140102701,0.645648924
21602,0.030895087,0.419785588,0.332618378,0.216700947
21603,0.418803639,0.051803115,0.135783924,0.393609322
21604,0.034476762,0.294635279,0.353775554,0.317112405
21605,0.127495563,0.056126112,0.589677365,0.22670096
21606,0.132032648,0.042622735,0.427621168,0.397723449
21607,0.529513849,0.085861562,0.054734801,0.329889788
21608,0.321327088,0.41904203,0.022682313,0.236948569
21609,0.037570031,0.07077824,0.531356756,0.360294973
21610,0.30414606,0.348176304,0.029703462,0.317974174
21611,0.052389645,0.079430931,0.481724356,0.386455068
21612,0.500660899,0.135765372,0.255039104,0.108534626
21613,0.041695574,0.174682426,0.37029765,0.413324349
21614,0.071794765,0.45384122,0.265349459,0.209014556
21615,0.307100689,0.353693286,0.036648109,0.302557916
21616,0.279320264,0.028201242,0.560036774,0.13244172
21617,0.243950392,0.362693595,0.157856437,0.235499575
21618,0.24499916,0.093662843,0.218380965,0.442957031
21619,0.139549475,0.153554182,0.11317265,0.593723693
21620,0.080381964,0.68513712,0.045584916,0.188896001
21621,0.172501895,0.390169907,0.142468668,0.29485953
