No,Ch1,Ch2,Ch3,Ch4
21566,0.181315913,0.078449109,0.376060562,0.364174417
21567,0.038084399,0.30500962,0.434801799,0.222104183
21568,0.319497611,0.417867583,0.089596095,0.173038711
21569,0.607008855,0.072145274,0.117987626,0.202858244
21570,0.123717015,0.340318097,0.431138847,0.10482604
21571,0.093973292,0.545334648,0.140913688,0.219778373
21572,0.149035566,0.062166837,0.532590292,0.256207304
21573,0.109347463,0.136466892,0.193863067,0.560322578
21574,0.139816734,0.368903296,0.310714537,0.180565434
21575,0.046331037,0.075328957,0.650630527,0.22770948
21576,0.217794228,0.208432266,0.270486006,0.3032875
21577,0.229760719,0.123028174,0.524718309,0.122492799
21578,0.301817128,0.333310008,0.160399845,0.204473019
21579,0.065672829,0.150511174,0.179507267,0.604308731
21580,0.046119345,0.411461108,0.18353467,0.358884877
21581,0.381875801,0.074039326,0.158771254,0.385313619
21582,0.111666729,0.170137802,0.385649657,0.332545812
21583,0.147454488,0.141466631,0.252318352,0.458760528
21584,0.212676737,0.281416029,0.062071998,0.443835236
21585,0.241554058,0.312546047,0.133810434,0.31208946
21586,0.190875793,0.404616894,0.203188399,0.201318915
21587,0.045609607,0.390570514,0.252382449,0.311437431
21588,0.042709979,0.080047114,0.533301984,0.343940924
21589,0.175041425,0.056296654,0.462149903,0.306512017
21590,0.041874439,0.106016478,0.490984778,0.361124304
21591,0.064222567,0.200024743,0.32633783,0.40941486
21592,0.115356208,0.183656595,0.092531588,0.608455609
21593,0.341817069,0.211354088,0.165876702,0.280952141
21594,0.106422397,0.122550653,0.275952026,0.495074924
21595,0.224962113,0.130066714,0.056363435,0.588607738
21596,0.166144836,0.505621312,0.076790599,0.251443253
21597,0.389038048,0.252939046,0.065718091,0.292304815
21598,0.082316697,0.351944809,0.259321598,0.306416896
21599,0.234188101,0.374519731,0.222566428,0.168725739
21600,0.084385999,0.134723247,0.082424539,0.698466216
21601,0.054118446,0.148994211,0.160690377,0.636196966
21602,0.052417592,0.390232785,0.296711484,0.260638139
21603,0.371247093,0.082491389,0.144867987,0.401393531
21604,0.05437407,0.215491282,0.367436831,0.362697817
21605,0.20491321,0.078521825,0.454932093,0.261632873
21606,0.228907861,0.058712849,0.341973888,0.370405403
21607,0.457721809,0.104891634,0.065897352,0.371489204
21608,0.274259925,0.414129956,0.030744116,0.280866002
21609,0.065051899,0.089907187,0.488371433,0.356669481
21610,0.242533855,0.356013126,0.042906704,0.358546315
21611,0.057414654,0.059826635,0.499046132,0.383712579
21612,0.416167085,0.156978347,0.261976653,0.164877915
21613,0.057006196,0.160530192,0.325991886,0.456471726
21614,0.093859351,0.429496171,0.267514383,0.209130095
21615,0.304548223,0.311570993,0.038799624,0.34508116
21616,0.296760605,0.032857618,0.467284972,0.203096804
21617,0.229482694,0.367311796,0.162924711,0.2402808
21618,0.214097905,0.103588873,0.23883895,0.443474272
21619,0.141948665,0.141364454,0.107536572,0.609150308
21620,0.091929046,0.534037959,0.093503973,0.280529022
21621,0.180392852,0.299818391,0.172613699,0.347175059
21622,0.128762417,0.2679618,0.113337221,0.489938562
21623,0.401351152,0.368829297,0.064395294,0.165424258
21624,0.546864346,0.168691673,0.082970556,0.201473425
21625,0.130010065,0.101057956,0.441813332,0.327118646
21626,0.605814631,0.10176938,0.119576556,0.172839433
21627,0.140367765,0.25089446,0.329926414,0.278811362
21628,0.118252244,0.581764372,0.16557822,0.134405164
21629,0.512102114,0.162636006,0.106257324,0.219004556
21630,0.232029959,0.170861039,0.161409407,0.435699595
21631,0.151939178,0.040154696,0.724393745,0.083512382
21632,0.082698919,0.252599322,0.403171067,0.261530692
21633,0.156081498,0.306941551,0.190272653,0.346704299
21634,0.126395718,0.661464933,0.084043644,0.128095705
21635,0.047468365,0.565350933,0.264058847,0.123121856
21636,0.525906697,0.176251346,0.096181217,0.201660741
21637,0.410716617,0.327609377,0.077036822,0.184637184
21638,0.092116894,0.335178453,0.435751789,0.136952864
21639,0.212922212,0.517402257,0.128954146,0.140721385
21640,0.508055373,0.258596448,0.057328948,0.17601923
21641,0.164883248,0.241400729,0.485742715,0.107973308
21642,0.43966152,0.247739273,0.146703455,0.165895752
21643,0.054198328,0.242212821,0.497815248,0.205773603
21644,0.291204165,0.270367692,0.123442034,0.314986109
21645,0.076414424,0.590029416,0.163394675,0.170161484
21646,0.175116158,0.240818175,0.439555996,0.144509672
21647,0.181939378,0.224545113,0.430294699,0.16322081
21648,0.304243822,0.121298787,0.397606015,0.176851375
21649,0.443459095,0.114878127,0.280168555,0.161494224
21650,0.134387819,0.370971931,0.313073175,0.181567075
21651,0.494898679,0.086061781,0.159449471,0.259590069
21652,0.07140287,0.13448168,0.220872937,0.573242512
21653,0.583449767,0.176130523,0.077127437,0.163292274
21654,0.51180376,0.158301625,0.126386719,0.203507897
21655,0.336581925,0.043015792,0.474474611,0.145927672
21656,0.48664403,0.100538142,0.186596258,0.226221571
21657,0.467738993,0.122988018,0.14440816,0.264864829
21658,0.403402484,0.11048688,0.284259478,0.201851158
21659,0.570296268,0.125720684,0.111065356,0.192917692
21660,0.130597014,0.086617588,0.279302416,0.503482983
21661,0.121695248,0.299193447,0.161670835,0.41744047
21662,0.056939875,0.607522352,0.04527496,0.290262813
21663,0.135619818,0.119201131,0.503877415,0.241301636
21664,0.070349435,0.327124508,0.156790323,0.445735734
21665,0.369238073,0.2096624,0.158813251,0.262286276
21666,0.080102084,0.340254835,0.2368111,0.342831982
21667,0.048994902,0.381146127,0.232632376,0.337226595
21668,0.244891244,0.189784558,0.144456225,0.420867973
21669,0.194795866,0.194597758,0.0676793,0.542927076
21670,0.115036678,0.51204728,0.08558463,0.287331412
21671,0.082577748,0.291076998,0.477720551,0.148624702
21672,0.051962535,0.199609778,0.437844668,0.310583019
21673,0.389655148,0.167342832,0.04863398,0.39436804
21674,0.345712224,0.126931176,0.241294245,0.286062355
21675,0.306252093,0.148377918,0.121707797,0.423662192
21676,0.118278274,0.491059736,0.115119097,0.275542892
21677,0.458696327,0.070369075,0.254953235,0.215981363
21678,0.107825171,0.466987221,0.28955626,0.135631348
21679,0.199076211,0.393884759,0.094995673,0.312043356
21680,0.244772791,0.081901136,0.527754856,0.145571217
21681,0.249937134,0.07354068,0.168868142,0.507654044
21682,0.359045048,0.261088979,0.065875191,0.313990782
21683,0.320995818,0.054162905,0.297911892,0.326929385
21684,0.299825555,0.057373417,0.209694912,0.433106117
21685,0.158544545,0.227111818,0.122876125,0.491467513
21686,0.089588746,0.411390576,0.293614278,0.2054064
21687,0.146867657,0.086989194,0.409376988,0.356766161
21688,0.21749031,0.13762194,0.086770847,0.558116903
21689,0.165783545,0.551384918,0.101548308,0.181283229
21690,0.665804096,0.177534581,0.028192133,0.12846919
21691,0.166853602,0.497386808,0.106777307,0.228982284
21692,0.055948666,0.304077945,0.485657056,0.154316333
21693,0.075592885,0.655101207,0.034973917,0.234331992
21694,0.124114635,0.205462067,0.275223451,0.395199847
21695,0.341381334,0.331604227,0.229586469,0.09742797
21696,0.567019545,0.163663932,0.047190926,0.222125597
21697,0.424490131,0.210243401,0.21118156,0.154084908
21698,0.17295974,0.062403756,0.63864322,0.125993283
21699,0.230435527,0.53940808,0.044571255,0.185585137
21700,0.306550969,0.27684635,0.163983258,0.252619424
21701,0.454060372,0.114525982,0.139648885,0.29176476
21702,0.064818442,0.406308274,0.154325644,0.374547639
21703,0.113294189,0.301465335,0.088962714,0.496277762
21704,0.119428308,0.299708385,0.294641576,0.286221731
21705,0.150237647,0.080216413,0.443883988,0.325661953
21706,0.103991914,0.425900649,0.092791576,0.377315861
21707,0.077425008,0.554247323,0.178050162,0.190277506
21708,0.064045809,0.51233807,0.141338565,0.282277555
21709,0.256666155,0.136833381,0.066175529,0.540324935
21710,0.310394859,0.104886129,0.093944491,0.490774521
21711,0.058792979,0.50789872,0.243783799,0.189524503
21712,0.11603354,0.251017645,0.075444285,0.55750453
21713,0.507757066,0.119331887,0.134277958,0.238633089
