No,Ch1,Ch2,Ch3,Ch4
21566,0.166893455,0.065871558,0.329607562,0.437627425
21567,0.03528229,0.345998511,0.360384586,0.258334612
21568,0.353853957,0.361727913,0.102031375,0.182386755
21569,0.555841884,0.076812667,0.131590958,0.235754492
21570,0.096366837,0.365293203,0.416863294,0.121476666
21571,0.081957026,0.568288952,0.143074883,0.206679139
21572,0.164315549,0.045500417,0.526298074,0.26388596
21573,0.093620851,0.126326449,0.13377502,0.64627768
21574,0.121009837,0.299260133,0.402779846,0.176950185
21575,0.037557777,0.053072507,0.620109568,0.289260149
21576,0.228596242,0.227331784,0.272034376,0.272037598
21577,0.271807778,0.115245056,0.468189532,0.144757634
21578,0.331580626,0.295988637,0.155873813,0.216556923
21579,0.065540812,0.138002125,0.144190287,0.652266776
21580,0.033547409,0.488829644,0.202838864,0.274784082
21581,0.478019526,0.042809309,0.131240281,0.347930885
21582,0.106435638,0.167974296,0.342576594,0.383013472
21583,0.159965275,0.138632636,0.208460122,0.492941967
21584,0.219929673,0.252353387,0.05191433,0.475802609
21585,0.246862733,0.263720828,0.145711057,0.343705382
21586,0.197029961,0.35728229,0.20839019,0.237297559
21587,0.038080409,0.38895399,0.233241065,0.339724536
21588,0.036529684,0.068060278,0.46791517,0.427494868
21589,0.202601497,0.054615372,0.440120769,0.302662362
21590,0.043499986,0.125056505,0.464404744,0.367038765
21591,0.054899388,0.194135374,0.334953287,0.416011951
21592,0.109211478,0.161919291,0.064449538,0.664419693
21593,0.346396249,0.192903323,0.171255056,0.289445371
21594,0.097826083,0.116420424,0.209918104,0.575835389
21595,0.202543281,0.160601376,0.054591743,0.5822636
21596,0.211759395,0.457571796,0.093485105,0.237183704
21597,0.277159089,0.301261795,0.066092467,0.355486649
21598,0.088506077,0.355026022,0.269302849,0.287165052
21599,0.201089427,0.34712978,0.275429079,0.176351714
21600,0.072639218,0.125387208,0.07376228,0.728211294
21601,0.055493942,0.170944709,0.152451551,0.621109798
21602,0.041571979,0.3725661,0.325295092,0.260566829
21603,0.423616116,0.04586696,0.145733025,0.384783899
21604,0.031894756,0.309248853,0.286088716,0.372767675
21605,0.255008224,0.084841995,0.354373225,0.305776556
21606,0.171644568,0.058249205,0.35675413,0.413352096
21607,0.39783663,0.081616529,0.067643701,0.45290314
21608,0.368951759,0.327107103,0.022906799,0.281034339
21609,0.064262458,0.09689919,0.443155931,0.39568242
21610,0.224956119,0.3588568,0.039884764,0.376302317
21611,0.06641592,0.059117657,0.41187668,0.462589742
21612,0.313620838,0.187791818,0.322990702,0.175596641
21613,0.060423061,0.16664202,0.312884242,0.460050677
21614,0.092390351,0.416925939,0.250360372,0.240323337
21615,0.261662925,0.366163415,0.038780783,0.333392877
21616,0.349894675,0.028058492,0.412104328,0.209942505
21617,0.248551505,0.379304491,0.159281153,0.212862852
21618,0.215931056,0.114922496,0.248448451,0.420697997
21619,0.116173085,0.131254557,0.127280291,0.625292067
21620,0.099094529,0.496568195,0.088919703,0.315417573
21621,0.219797487,0.268554686,0.219926139,0.291721688
21622,0.154799139,0.260714387,0.117082333,0.467404141
21623,0.419028683,0.357936627,0.06799412,0.155040569
21624,0.604206731,0.109019243,0.089127751,0.197646276
21625,0.156319701,0.086477259,0.465852798,0.291350242
21626,0.632629773,0.060501082,0.121695159,0.185173987
21627,0.137187028,0.235047642,0.332645124,0.295120206
21628,0.096146053,0.569671274,0.189802572,0.144380101
21629,0.554042561,0.15238543,0.116180559,0.17739145
21630,0.244071559,0.151609643,0.183610455,0.420708343
21631,0.138756221,0.024427857,0.769404197,0.067411725
21632,0.068483571,0.272165102,0.354643678,0.304707649
21633,0.178589786,0.35084774,0.147301437,0.323261037
21634,0.093803706,0.681670379,0.083739362,0.140786553
21635,0.042032515,0.550849809,0.266097523,0.141020154
21636,0.629013333,0.098767596,0.091740846,0.180478224
21637,0.410415421,0.286597222,0.069544104,0.233443252
21638,0.074847897,0.324820086,0.440959166,0.159372851
21639,0.267487819,0.45752141,0.142047941,0.132942831
21640,0.476101153,0.263418779,0.048385635,0.212094433
21641,0.140524993,0.195188642,0.559588236,0.104698129
21642,0.352108958,0.295273938,0.157246325,0.195370779
21643,0.052966368,0.290200183,0.424156472,0.232676976
21644,0.282155952,0.286817241,0.118053945,0.312972863
21645,0.073605024,0.541567844,0.195052603,0.189774529
21646,0.199060725,0.289305073,0.367331595,0.144302607
21647,0.224109864,0.247617868,0.376601057,0.151671211
21648,0.305563557,0.101648964,0.386049177,0.206738302
21649,0.403219806,0.124844053,0.332173786,0.139762355
21650,0.162788598,0.343763513,0.307215481,0.186232408
21651,0.516101374,0.075321929,0.136422312,0.272154384
21652,0.061378042,0.148325478,0.237339615,0.552956865
21653,0.5415857,0.184284144,0.088312499,0.185817657
21654,0.488608007,0.160608192,0.125489033,0.225294768
21655,0.35331925,0.034815841,0.45848271,0.153382199
21656,0.453822122,0.13248455,0.193769856,0.219923471
21657,0.448586499,0.099289712,0.171619597,0.280504192
21658,0.352373385,0.117973298,0.319502849,0.210150467
21659,0.575902007,0.127169183,0.103941866,0.192986944
21660,0.14828595,0.089568572,0.27789701,0.484248468
21661,0.080871744,0.300995923,0.212803275,0.405329058
21662,0.04777243,0.609561945,0.04574209,0.296923535
21663,0.131296332,0.126456514,0.431700289,0.310546866
21664,0.060424752,0.277642001,0.197335806,0.464597441
21665,0.397121418,0.196879491,0.152042602,0.253956489
21666,0.077674274,0.366313102,0.233721507,0.322291117
21667,0.057314904,0.405527779,0.242277407,0.294879909
21668,0.295516263,0.207927565,0.157800133,0.338756038
21669,0.194606616,0.179054292,0.071361336,0.554977756
21670,0.123805077,0.471194063,0.102327101,0.30267376
21671,0.09215447,0.311870229,0.427271201,0.1687041
21672,0.046345689,0.203585068,0.459227374,0.290841869
21673,0.435388075,0.13737637,0.048717887,0.378517669
21674,0.378334198,0.133203668,0.236132852,0.252329282
21675,0.259088697,0.171529491,0.138611842,0.43076997
21676,0.124124584,0.469556439,0.107478089,0.298840887
21677,0.422292109,0.077716747,0.26515646,0.234834684
21678,0.118716028,0.460208065,0.263301312,0.157774594
21679,0.241348897,0.349304779,0.09022757,0.319118754
21680,0.227928431,0.095252565,0.546625231,0.130193773
21681,0.229025391,0.07938807,0.167488744,0.524097795
21682,0.368718417,0.267524385,0.053135023,0.310622175
21683,0.261055965,0.041547771,0.381102675,0.316293588
21684,0.335922254,0.062333537,0.242652035,0.359092174
21685,0.19077863,0.194762326,0.125592985,0.488866059
21686,0.091059862,0.365246761,0.289141184,0.254552192
21687,0.142656142,0.078502241,0.457274777,0.32156684
21688,0.204036485,0.165009339,0.089178669,0.541775508
21689,0.168154403,0.536557451,0.086758353,0.208529793
21690,0.677881938,0.154550055,0.024695213,0.142872794
21691,0.101041583,0.558155838,0.093990608,0.24681197
21692,0.052982214,0.31228822,0.489209976,0.145519591
21693,0.067587752,0.634401794,0.042069559,0.255940895
21694,0.156924678,0.239973051,0.246588724,0.356513547
21695,0.297198047,0.374653539,0.205975695,0.122172719
21696,0.526171377,0.179016979,0.044367406,0.250444239
21697,0.44015992,0.149758346,0.23234109,0.177740644
21698,0.203867584,0.055466447,0.612145605,0.128520364
21699,0.193996338,0.55716126,0.037314905,0.211527497
21700,0.285808596,0.285027107,0.195566731,0.233597565
21701,0.4169793,0.139989207,0.134663333,0.30836816
21702,0.043654345,0.53190792,0.150165513,0.274272222
21703,0.083401896,0.36748117,0.085001678,0.464115255
21704,0.106031241,0.291325396,0.279057123,0.323586239
21705,0.153618226,0.063841245,0.378973756,0.403566773
21706,0.098687864,0.390318432,0.102659153,0.408334551
21707,0.096586457,0.548025727,0.166364745,0.18902307
21708,0.046414837,0.50378165,0.127424345,0.322379168
21709,0.264386458,0.156674004,0.062024216,0.516915322
21710,0.347979149,0.084897273,0.073596,0.493527578
21711,0.067063589,0.553050301,0.164641799,0.21524431
21712,0.096063116,0.243696159,0.066843623,0.593397102
21713,0.463373466,0.100742191,0.135072786,0.300811557
21714,0.045819476,0.578730228,0.049858102,0.325592194
21715,0.453715224,0.16416361,0.163310579,0.218810587
21716,0.148362568,0.173357335,0.175208126,0.50307197
21717,0.166515503,0.059968203,0.425172339,0.348343955
21718,0.383009037,0.39005465,0.024309066,0.202627247
21719,0.196741213,0.167692447,0.13464651,0.50091983
21720,0.429836409,0.149510792,0.064886951,0.355765848
21721,0.129911259,0.276607623,0.313372326,0.280108792
21722,0.522414929,0.206110405,0.03855128,0.232923385
21723,0.049085084,0.291088603,0.196463391,0.463362921
21724,0.341630737,0.218085058,0.187153931,0.253130274
21725,0.082979231,0.209892408,0.227643008,0.479485353
21726,0.026856271,0.406846229,0.306199194,0.260098306
21727,0.208010078,0.053080956,0.511340331,0.227568635
21728,0.082020031,0.116710821,0.359915347,0.441353801
21729,0.221321384,0.282612925,0.134866838,0.361198853
21730,0.449053173,0.080646809,0.062773585,0.407526432
21731,0.273033223,0.171677211,0.318319884,0.236969682
21732,0.272354056,0.23141412,0.08361591,0.412615913
21733,0.285606626,0.490657596,0.076781691,0.146954086
21734,0.066819703,0.52830298,0.183637936,0.221239381
21735,0.246300049,0.358713282,0.068040756,0.326945913
21736,0.491121562,0.205260139,0.114703039,0.188915261
21737,0.268092298,0.098342748,0.46949816,0.164066794
21738,0.324181698,0.277198969,0.26795601,0.130663323
21739,0.111318369,0.510116849,0.255383366,0.123181416
21740,0.065816643,0.655471282,0.17641667,0.102295404
21741,0.077572188,0.4478411,0.200253969,0.274332743
21742,0.255568675,0.144941089,0.430946789,0.168543446
21743,0.367065278,0.394876464,0.041254195,0.196804064
21744,0.256833618,0.16578117,0.463453197,0.113932015
21745,0.221890398,0.23544497,0.259314931,0.283349701
21746,0.222854302,0.532444356,0.062414575,0.182286767
21747,0.396478822,0.311134951,0.155152965,0.137233262
21748,0.32120561,0.41244499,0.127880059,0.138469342
21749,0.07430627,0.457027535,0.300145844,0.168520351
21750,0.061258639,0.118415972,0.591808392,0.228516997
21751,0.466223942,0.044648685,0.393788115,0.095339257
21752,0.391158815,0.129443701,0.165334911,0.314062573
21753,0.227849687,0.225205022,0.294625461,0.25231983
21754,0.064711091,0.507175855,0.150897587,0.277215468
21755,0.159558597,0.376215872,0.242492159,0.221733372
21756,0.114607422,0.36122712,0.116060264,0.408105194
21757,0.156251555,0.49806676,0.037977334,0.307704351
21758,0.244732506,0.196359827,0.177043022,0.381864645
21759,0.276693185,0.372241223,0.18788196,0.163183633
21760,0.15315681,0.059493729,0.3786197,0.408729761
21761,0.123510405,0.184695658,0.429546263,0.262247673
21762,0.038962165,0.685892733,0.028313218,0.246831884
21763,0.505744792,0.06948006,0.035876229,0.388898919
21764,0.181437453,0.050460026,0.529755881,0.23834664
21765,0.466367397,0.135986313,0.083299403,0.314346887
21766,0.10788203,0.253611818,0.033087519,0.605418633
21767,0.099773695,0.186057573,0.291722381,0.42244635
21768,0.228089427,0.302240476,0.266146456,0.203523641
21769,0.18020082,0.183277798,0.102571927,0.533949455
21770,0.139254692,0.316413274,0.275426677,0.268905356
21771,0.052019832,0.128270739,0.340365165,0.479344264
21772,0.153001899,0.372020411,0.196169417,0.278808273
21773,0.111371805,0.391645308,0.044659382,0.452323505
21774,0.033023436,0.102512716,0.590215339,0.274248509
21775,0.205328065,0.379396907,0.201476618,0.21379841
21776,0.412240758,0.269979051,0.146547595,0.171232596
21777,0.086237672,0.072111997,0.596886468,0.244763863
21778,0.271846125,0.161927702,0.169947253,0.39627892
21779,0.387110075,0.243227767,0.085361483,0.284300676
21780,0.180835958,0.126678286,0.458410279,0.234075478
21781,0.093282656,0.077667673,0.625415205,0.203634467
21782,0.442850403,0.024052977,0.419300985,0.113795635
21783,0.316775677,0.156812791,0.174343546,0.352067986
21784,0.523313471,0.297403319,0.058569516,0.120713695
21785,0.20163805,0.5577798,0.161537049,0.079045101
21786,0.124547353,0.092878538,0.28830782,0.494266288
21787,0.109476737,0.558486353,0.067127952,0.264908958
21788,0.465878827,0.274525476,0.056120661,0.203475036
21789,0.138617394,0.321040029,0.248054339,0.292288239
21790,0.572582896,0.12269556,0.117522453,0.187199091
21791,0.307968019,0.202046167,0.203026517,0.286959298
21792,0.066296297,0.373803526,0.414897712,0.145002465
21793,0.134409572,0.324261543,0.426820808,0.114508076
21794,0.036819785,0.558537294,0.252193294,0.152449627
21795,0.222117481,0.028863745,0.592608345,0.156410429
21796,0.273572682,0.292181515,0.164440599,0.269805203
21797,0.263955104,0.367356057,0.187216986,0.181471852
21798,0.390924888,0.060900343,0.376865082,0.171309688
21799,0.097386127,0.106189864,0.218549002,0.577875007
21800,0.091700601,0.145074847,0.34002741,0.423197142
21801,0.181941632,0.155372788,0.323972034,0.338713545
21802,0.049054118,0.252286226,0.361376641,0.337283015
21803,0.115567587,0.141248932,0.513713331,0.22947015
21804,0.214418042,0.489664893,0.132044067,0.163872997
21805,0.518176732,0.063415495,0.171981502,0.246426271
21806,0.091155278,0.42942903,0.230344379,0.249071312
21807,0.149229998,0.472562676,0.136709205,0.24149812
21808,0.356657678,0.13199473,0.202995237,0.308352354
21809,0.615056192,0.076336908,0.063604408,0.245002492
21810,0.531888308,0.078053258,0.253715138,0.136343295
21811,0.247839548,0.389107322,0.273653254,0.089399876
21812,0.181093997,0.090670964,0.451362832,0.276872207
21813,0.256799263,0.513934567,0.074953998,0.154312171
21814,0.133627325,0.225982007,0.443721953,0.196668716
21815,0.338580298,0.096535367,0.29959017,0.265294166
21816,0.36282118,0.466577196,0.060286889,0.110314735
21817,0.03650398,0.064139782,0.767231754,0.132124484
21818,0.088107596,0.096462263,0.419928526,0.395501615
21819,0.248932148,0.232548259,0.112385829,0.406133765
21820,0.52943027,0.169320062,0.127971433,0.173278235
21821,0.169771206,0.160640164,0.500249788,0.169338842
21822,0.385900624,0.487783205,0.057276675,0.069039496
21823,0.15964744,0.483538009,0.212942396,0.143872154
21824,0.157570533,0.542585364,0.221963359,0.077880744
21825,0.067866619,0.510822905,0.134611939,0.286698536
21826,0.282149748,0.366384194,0.277880537,0.073585522
21827,0.062551945,0.09359225,0.724725273,0.119130532
21828,0.131494403,0.509958927,0.132788001,0.225758669
21829,0.103759046,0.131957583,0.565567179,0.198716192
21830,0.044817524,0.116884614,0.644561553,0.193736309
21831,0.288435002,0.352977226,0.107255415,0.251332357
21832,0.232723462,0.477676922,0.0594739,0.230125716
21833,0.587666772,0.068328166,0.196565196,0.147439866
21834,0.481735844,0.252585705,0.086280977,0.179397474
21835,0.105027953,0.411889873,0.124342292,0.358739882
21836,0.051138865,0.087779598,0.627115432,0.233966104
21837,0.156305205,0.080867843,0.396480799,0.366346153
21838,0.34018183,0.128983551,0.347107152,0.183727467
21839,0.141355423,0.493627179,0.189575404,0.175441993
21840,0.56855636,0.046569956,0.257799046,0.127074638
21841,0.450176463,0.237596625,0.097054468,0.215172444
21842,0.061506502,0.296618261,0.441540977,0.20033426
21843,0.609028316,0.083083557,0.077917445,0.229970681
21844,0.061551535,0.579121658,0.174003426,0.18532338
21845,0.299272077,0.184025322,0.269136679,0.247565922
21846,0.073925667,0.453372292,0.186109199,0.286592842
21847,0.299478817,0.113573776,0.443027793,0.143919614
21848,0.090140937,0.185291281,0.082355118,0.642212664
21849,0.496471036,0.314984424,0.048597238,0.139947302
21850,0.488855616,0.127918404,0.072046724,0.311179255
21851,0.160491585,0.5809711,0.036473054,0.222064261
21852,0.333213557,0.181478064,0.228401407,0.256906972
21853,0.078969341,0.185730136,0.371102296,0.364198227
21854,0.322840602,0.147322521,0.122607989,0.407228888
